date,Albuquerque-Santa Fe NM,Atlanta GA,Austin TX,Bakersfield CA,Baltimore MD,Boston MA-Manchester NH,Charlotte NC,Chicago IL,Colorado Springs-Pueblo CO,Columbus OH,Dallas-Ft. Worth TX,Denver CO,Detroit MI,El Paso TX,Fresno-Visalia CA,Houston TX,Jacksonville FL,Kansas City MO,Las Vegas NV,Los Angeles CA,Louisville KY,Memphis TN,Miami-Ft. Lauderdale FL,Milwaukee WI,Minneapolis-St. Paul MN,Nashville TN,New York NY,Norfolk-Portsmouth-Newport News VA,Oklahoma City OK,Omaha NE,Ontario,Philadelphia PA,Phoenix AZ,Portland OR,Raleigh-Durham (Fayetteville) NC,San Antonio TX,San Diego CA,San Francisco-Oakland-San Jose CA,Seattle-Tacoma WA,Tucson AZ,Tulsa OK,Washington DC (Hagerstown MD),Wichita-Hutchinson KS
2017-12-17,,23.777,33.0,30.361,34.0,40.286,32.384,33.258,,,19.688,37.89,50.496,25.244,29.636,28.127,26.982,,27.829,50.368,37.0,17.172,25.952,,37.451,26.671,100.0,59.287,23.059,,9.0,46.774,61.785,36.15,62.0,,,41.772,33.406,,,40.864,39.911
2017-12-24,32.406,33.39,,27.418,49.286,22.637,,30.136,68.0,33.431,39.218,61.664,32.745,,77.027,36.85,,53.333,,63.971,,20.202,30.78,32.6,28.06,28.668,45.479,60.324,65.882,48.875,27.0,60.264,47.975,34.578,31.5,21.33,54.64,24.895,46.296,43.152,61.5,33.769,54.283
2017-12-31,20.892,25.599,,36.779,43.6,30.886,42.503,47.851,37.5,,45.386,29.452,22.55,38.2,35.012,43.987,27.482,40.678,21.024,45.833,51.667,24.242,24.141,27.833,46.956,66.677,41.356,79.05,23.529,,20.8,48.24,43.613,35.207,,29.749,,35.443,33.274,26.702,24.0,35.206,41.811
2018-01-07,,41.181,36.421,28.349,49.787,,46.371,23.152,45.005,24.641,25.52,37.801,41.173,,24.009,22.664,20.237,69.674,50.274,31.799,22.0,56.782,41.367,33.6,24.443,50.443,31.537,,21.656,23.921,12.019,46.01,31.256,24.153,18.101,28.637,45.513,41.772,40.214,29.0,,37.205,38.0
2018-01-14,26.833,48.671,31.637,,35.023,24.925,21.959,25.295,,31.427,53.612,40.968,21.745,31.788,,20.395,,19.209,14.625,38.261,18.0,21.47,24.232,29.2,24.994,21.875,23.49,,25.882,23.274,9.63,45.834,41.406,27.686,12.0,69.724,27.376,81.857,49.337,,,61.721,
2018-01-21,,41.898,22.056,38.555,56.682,16.191,51.282,40.294,,,35.124,29.398,34.226,24.543,47.017,26.481,,32.768,35.198,66.471,31.23,40.233,36.091,,36.878,,54.173,49.78,21.852,30.045,12.61,47.399,,79.843,,57.211,33.302,47.257,37.324,21.0,,55.647,
2018-01-28,22.142,30.884,28.947,,23.015,17.074,63.063,12.543,43.451,,56.004,64.791,37.398,23.374,,37.266,,66.767,20.586,58.274,,24.242,28.846,,54.715,30.208,32.112,57.263,47.198,32.0,9.129,41.201,,,,,66.667,34.177,23.288,23.658,,38.897,30.858
2018-02-04,26.426,28.25,40.035,30.712,39.0,23.31,35.959,32.394,18.162,,45.968,19.709,20.925,,,56.446,,55.863,30.078,72.548,,25.532,18.572,31.0,41.161,16.667,50.638,,37.06,48.1,12.401,32.845,31.5,34.321,19.843,31.129,19.981,58.228,16.993,90.0,19.024,66.962,20.0
2018-02-11,27.071,41.481,29.0,17.854,39.83,18.153,38.397,24.651,79.45,31.175,38.072,19.2,41.026,,21.574,40.019,31.636,47.598,39.747,43.566,29.0,44.869,33.162,43.0,55.191,21.569,59.763,24.722,26.262,18.484,14.251,28.364,100.0,18.282,20.023,37.028,45.695,40.928,28.985,,16.995,35.4,36.967
2018-02-18,26.316,30.282,,58.554,,13.248,22.634,38.902,42.852,44.481,40.947,31.173,53.35,,21.0,39.332,20.0,53.12,,71.789,,26.263,22.984,,75.56,22.917,48.108,36.803,60.0,16.859,12.521,45.422,26.168,36.911,25.933,,39.946,26.582,24.755,48.0,42.493,48.065,29.998
